-53.450283,-24.948712,1,40,1,57
-53.738286,-24.712332,1,50,1,1
-53.738349,-24.711701,1,50,1,179
-53.436467,-24.950621,1,60,1,237
-53.460892,-24.956579,1,60,1,93
-53.475869,-24.943003,1,60,1,183
-53.506600,-24.967486,1,60,1,173
-53.474848,-24.928681,1,60,0,4
-53.464891,-24.957492,1,60,1,274
-53.208381,-24.638359,1,60,2,10
-53.605048,-24.580300,1,60,2,30
-53.427142,-24.949994,1,60,1,118
-53.426406,-24.949930,1,60,1,298
-53.497481,-24.977549,1,60,1,52
-53.456618,-24.942689,1,60,0,57
-53.441892,-24.931277,1,60,2,176
-53.864942,-24.418930,1,60,2,164
-53.730863,-24.725915,1,60,1,262
-53.730862,-24.726036,1,60,1,81
-53.749927,-24.713447,1,60,1,90
-53.749930,-24.713372,1,60,1,270
-53.743349,-24.741258,1,60,1,180
-53.646458,-24.826346,1,60,1,308
-53.646816,-24.826279,1,60,1,128
-53.399197,-24.968721,1,60,1,302
-53.763889,-24.708864,1,60,1,348
-53.748779,-24.719941,1,60,1,91
-53.748782,-24.719809,1,60,1,271
-53.454939,-24.973035,1,60,1,184
-53.411669,-24.961366,1,60,1,303
-53.412373,-24.961347,1,60,1,130
-53.736188,-24.743304,1,60,1,180
-53.764146,-24.708267,1,60,1,169
-53.695395,-24.759431,1,80,1,346
-53.695670,-24.754095,1,80,1,181
-53.603763,-24.847922,1,80,1,348
-53.604004,-24.847700,1,80,1,164
-53.743242,-24.737036,5,60,2,1
-53.290983,-24.802363,5,60,2,17
-53.479346,-24.957784,5,60,1,203
-53.749634,-24.726595,5,60,2,90
-53.483133,-24.967343,5,60,1,52
-53.729495,-24.734122,5,60,1,85
-53.434775,-24.972073,5,70,1,225
-53.460524,-24.982980,5,70,1,245
-53.480080,-24.980995,5,70,1,280
-53.460505,-24.982986,5,70,1,65
-53.480146,-24.981200,5,70,1,100
-53.387135,-24.976334,5,70,1,120
-53.042229,-24.215030,5,80,2,178
-53.049657,-24.252903,5,80,2,148
-53.089362,-24.282856,5,80,2,90
-53.544805,-24.893368,5,110,1,86
-53.544794,-24.893207,5,110,1,263
-53.554537,-24.887967,5,110,1,312
-53.554728,-24.888028,5,110,1,134
-53.675060,-24.794804,5,110,1,346
-53.517026,-24.997653,5,110,1,49
-53.700603,-24.731139,5,110,1,330
-53.741866,-24.719885,3,0,1,271
-53.742086,-24.719998,3,0,1,91
-53.741960,-24.720104,3,0,1,1
-53.741984,-24.719759,3,0,1,181
-53.454416,-24.967115,2,60,1,3
-53.460215,-24.954183,2,60,1,256
-53.469113,-24.953763,2,60,1,274
-53.421051,-24.952638,2,60,1,318
-53.470256,-24.951497,2,60,1,94
-53.460396,-24.952100,2,60,1,92
-53.438575,-24.946499,2,60,1,67
-53.437490,-24.945830,2,60,1,262
-53.478422,-24.963917,2,60,1,41
-53.421603,-24.952664,2,60,1,118
-53.466774,-24.955324,2,60,1,4
-53.446046,-24.950127,2,60,1,147
-53.478279,-24.954072,2,60,1,233
-53.464257,-24.954834,2,60,1,184
-53.448513,-24.946304,2,60,1,238
-53.479760,-24.949754,2,60,1,274
-53.467556,-24.964412,2,60,1,94
-53.453228,-24.953198,2,60,1,238
-53.452229,-24.983887,2,60,1,8
-53.484445,-24.967852,2,60,1,233
-53.466943,-24.956216,2,60,1,94
-53.480054,-24.954162,2,60,1,274
